Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4
Other Leads Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients,0.0,0.0,3.0,9.0,12.0,18.0,21.0,27.0,30.0,36.0,39.0,45.0,49.0,55.0,59.0,63.0,65.0,69.0,71.0,75.0
Other Clients Silicon Carbide Fiber,0.0,0.0,1.0,3.0,4.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,27.0
Other Clients Silicon Carbide Powder,0.0,0.0,2.0,6.0,8.0,12.0,14.0,18.0,20.0,24.0,26.0,30.0,32.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0
Other Clients Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,6.0
Other Clients UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0
Other Clients Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket,700.0,805.0,1400.0,1441.0052,1703.640312,1749.93280832,2009.8914562496,2087.529285125824,2856.70859660175,3300.5027685336354,3600.812823904305,4172.159080382391,4304.222261990039,4666.80670754984,4794.942841380836,5083.821698202181,5209.478212165969,5546.027696409283,5687.008248769469,6074.038413680859
Order Basket Silicon Carbide Fiber,500.0,575.0,1000.0,1023.0012,1049.4000720000001,1073.20800192,1100.4321600576,1125.080803201344,1353.1624192640347,1558.6856676492807,1780.159381002266,2142.092568622311,2216.1544199947575,2427.9775083946524,2481.5770585625455,2533.1285997337964,2588.6511717284725,2642.1641951630418,2699.687479066303,2755.241228647629
Order Basket Silicon Carbide Powder,200.0,229.99999999999997,400.0,418.004,446.16024,464.4832064000001,692.9728641920001,741.63232128448,940.4649677057151,1167.4742670597145,1234.8237524009062,1432.5202274489245,1478.5706319979029,1515.142044637861,1562.2448855306184,1599.8897832412306,1628.0875789060553,1656.8493304841763,1686.18631709386,1716.1100434357372
Order Basket Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.84872577920004,344.605700294784,351.49781430067975,358.5277705866933,365.6983259984272,373.0122925183957,380.47253836876365,388.081989136139,405.84370891886175,563.7605030972389,604.3357115911838,890.0724257590074
Order Basket UHT,0.0,0.0,0.0,0.0,208.07999999999998,212.24160000000003,216.486432,220.81616064,225.23248385280002,229.737133529856,234.33187620045314,239.01851372446222,243.79888399895145,350.6748619989305,370.6483589189091,562.7213260910153,586.8957526125796,683.2536676648261,696.7987410181225,712.6147158384849
Order Basket Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery,2.5,2.5,2.5,2.5,5.625039120196383,9.003171431183603,9.782069059570786,24.581122921810653,38.10576274356208,51.24515695048843,63.97437324684125,68.02694894802495,71.7050117990995,75.575998151951,78.61926880136905,82.48190282516101,86.32771546466591,90.49688061514203,94.12426232994562,98.19109261484668
Order Delivery Silicon Carbide Fiber,1.25,1.25,1.25,1.25,1.252883553325413,1.2082368751522554,1.1623552053939987,1.1183373088461779,1.0984492813716693,1.1146699058986678,1.1376737108006827,1.150694592475898,1.1613726726675189,1.2639934267461697,1.3768655862229782,1.493167512633844,1.6052202943507823,1.670312630747341,1.7341214533338076,1.8020277856441889
Order Delivery Silicon Carbide Powder,1.25,1.25,1.25,1.25,2.15215556687097,4.604934556031348,4.459713854176787,18.332785612964475,30.62731346219041,43.01423704458976,54.98419953604057,58.28750435554905,61.218639126431974,64.98700472520483,67.88510844945498,71.63933816655273,74.51051492913518,77.31226112037257,79.67080192659115,82.4287159151778
Order Delivery Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.98625,2.7225,3.4587499999999998,4.195,4.195,4.195,4.195,4.195,4.644245050889167,4.995017142160662,5.38642107625297
Order Delivery UHT,0.0,0.0,0.0,0.0,2.2199999999999998,3.19,4.16,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.162294765691088,5.1543971459744435,6.0169802411799465,6.870061813132956,7.724321807859998,8.573927837771713
Order Delivery Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
