Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4
Order Basket UHT,0.0,0.0,0.0,0.0,208.07999999999998,212.24160000000003,216.486432,220.81616064,225.23248385280002,229.737133529856,234.33187620045314,239.01851372446222,243.79888399895145,350.6748619989305,370.6483589189091,562.7213260910153,586.8957526125796,683.2536676648261,696.7987410181225,712.6147158384849
Order Basket Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Basket WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery,2.5,2.5,2.5,14.81125,29.279452291001974,44.1319308093049,55.85104149930405,60.8625926140192,65.53702558965665,69.9721699163856,73.51615471178096,77.93991988160973,81.54918691285623,85.32351453137495,88.21549397906986,91.86777869383448,94.63408820432561,98.5985150005425,102.99696761408323,107.51483101509861
Order Delivery Silicon Carbide Fiber,1.25,1.25,1.25,1.1675,1.089796724131004,1.0106197892488278,0.9262130987006493,1.047653009927037,1.1577319106984987,1.2765234193548942,1.3882537723595985,1.505303553254988,1.617853219520725,1.7354525930271927,1.8452439861972585,1.8478612755709491,1.8451191713297452,1.847619053202674,1.8485407796239266,1.9664731381453844
Order Delivery Silicon Carbide Powder,1.25,1.25,1.25,13.643749999999999,26.939655566870968,40.90131102005607,51.734828400603405,55.654939604092164,57.999293678958146,61.5793964970307,64.27540093942136,67.84586632835473,70.6063336933355,74.26306193834776,77.01295522718152,80.67052027228908,83.41152360318156,86.13048800818608,89.30047126561927,92.47110433828388
Order Delivery Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.98625,2.7225,3.4587499999999998,4.195,4.195,4.195,4.195,4.195,4.602828659843601,4.9540791569452685,5.353499382841229
Order Delivery UHT,0.0,0.0,0.0,0.0,1.25,2.2199999999999998,3.19,4.16,5.13,5.13,5.13,5.13,5.13,5.13,5.162294765691088,5.1543971459744435,5.182445429814305,6.017579279310158,6.893876411894769,7.723754155828115
Order Delivery Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Order Delivery WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
